id,city_id,name,historic,length
752,4,Metrotrén Primera Etapa,true,0
1002,402,Hyderabad Metro,false,63256
1003,398,Jaipur Metro,false,10949
1137,88,RRTS,false,0
106,121,MetLink Train Services,false,80054
1005,393,Turin Metro,false,13488
1006,387,Xiamen Metro,false,97139
1007,385,Wenzhou Rail Transit,false,53167
284,15,BCR,false,379208
1009,382,Shijiazhuang Metro,false,76176
1010,380,Shenyang Metro,false,115417
1012,376,Lanzhou Metro,false,25787
283,15,BRT,false,61066
677,59,Railink,false,55492
1029,345,İzmir Banliyö A.Ş.,false,135136
701,106,Teleférico,false,0
778,71,Tranvías EMT,true,0
779,71,Tranvías Primitivos,true,0
1896,54,Commuter rail - Urban lines,false,66533
1897,54,Lauttasaari tramway,true,0
46,54,Helsinki Metro,false,41641
755,4,Tranvías a Caballo (FUS),true,0
1105,252,DC Streetcar,false,3029
1051,134,Charm City Circulator,false,9015
1050,134,MTA MARC Train,false,0
1026,346,BursaRay,false,51902
1052,134,Harbor Connector,false,2522
1083,424,Lahore Metro,false,25397
1182,350,UlaşımPark,false,13189
699,13,MRT,false,131075
1038,358,Taiwan High Speed Rail,false,47841
749,358,New Taipei Metro,false,17419
693,73,Manila Metro Rail Transit System,false,16857
1015,370,Harbin Metro,false,92801
844,212,Southeastern Pennsylvania Transportation Authority (SEPTA),false,487236
1004,394,Chennai Metro,false,52839
1106,252,Maryland Transit Administration,false,317463
916,212,Port Authority Transit Corporation (PATCO),false,23087
740,81,Moscow Central Diameters,false,284631
351,114,Yokohama Minatomirai Railway Company,false,4259
1198,206,Historical Long Island Railroads,true,515160
352,114,Sagami Railway,false,41945
1200,206,IND,true,118213
1131,381,Shenzhen Tram,false,11671
1085,426,Rawalpindi-Islamabad Metrobus,false,53658
1132,381,Pingshan SkyShuttle,false,7960
1008,383,Taiyuan Metro,false,51584
976,413,Dubai Metro,false,85196
977,413,Al Sufouh Tram,false,8150
978,413,Palm Monorail,false,5298
1035,193,Tri-Rail,false,114352
1042,152,A-train,false,33822
1040,152,Trinity Railway Express,false,54278
1014,373,Jinan Metro,false,83464
902,84,Tōmi Railway,true,6781
901,84,Tōnō Railway,true,14899
72,84,Nagoya Municipal Subway,false,94630
789,84,Aichi Rapid Transit,false,9106
707,356,Seoul Metropolitan Subway,false,667546
884,84,Meigi Railway,true,121130
269,79,Linee suburbane,false,317212
1437,79,Linee non più in servizio,true,1211
1438,79,Linee transfrontaliere,false,0
67,79,Metro,false,105575
1467,69,Defunct Railways,true,5881
897,11,Σιδηρόδρομοι μετά το 1971 / Railways after 1971,false,294428
991,11,Ιππήλατο Τραμ / Horse Tram,true,0
794,11,Σύγχρονο Τραμ / Modern Tram,false,29403
709,27,S-Train,false,357096
1138,438,Trambadia,false,0
956,247,TTC Streetcar,false,74246
958,247,Toronto Street Railway,true,34667
1011,342,Metro İstanbul,false,221417
660,22,Monorail,false,19861
647,22,Navi Mumbai Metro,false,10762
1133,340,PMPML,false,0
93,105,Saint Petersburg Metro,false,128712
997,415,Kiev Metro,false,68143
407,108,SBS Transit,false,83371
1013,375,Kunming Metro,false,163323
974,341,Lusail Tram,false,6044
1139,462,Baku Metro,false,40293
1140,396,Karachi Circular Railway,false,0
1142,199,Réseau express métropolitain,false,0
992,390,Zhengzhou Metro,false,444909
1082,419,Hanoi Metro,false,21634
883,14,Rodalies,false,472043
748,14,Ferrocarril Metropolitano de Barcelona SA,true,3016
996,414,Minsk Metro,false,46065
690,108,Changi Airport Group,false,2958
994,417,Ningbo Rail Transit,false,257864
870,37,Bishan SkyShuttle,false,15249
993,416,Xi'an Metro,false,396278
279,106,Metrorrodoviário,false,210553
306,114,Keikyu,false,87129
788,71,Tranvías SGT-SMT,true,0
74,87,Metropolitana di Napoli,false,26226
1037,189,Metrolink,false,674524
276,4,FFCC del E,true,0
